,SKU ID,Min Pd,Product ID,Zenni B2B,USD Price,Cad Price,Frame Type,Material,Frame Rim,Frame Shape,Frame Gender,SKU Color,SKU Display Color,Frame Width,Adult Frame Size,Kids Frame Size,Weight,Lens Width,Product Display Name,Is for Kids,Rush Processing Available,SKU Status,Product Type,Joint Max,Joint Min,Max Sph,Min Sph,Max Cyl,Min Cyl,Max Pd,Min Pd,Pd Reader,Temple Length,Bridge,Lens Height,Readers Available,Progressive Available,Image URL,Feature List,Product List,Friendly Name
1,101016,59,1010,,25.95,34.95,standardframetype,Acetate,FullRim,Rectangle,Men_s,Blue,,128,Med,,19,52,Farallon Eyeglasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,73,59,64,141,18,34,1,1,https://static.zennioptical.com/production/products/general/10/10/101016-eyeglasses-front-view.jpg,"ft01,ft02,ft06","gt01,gt44,gt13,gt04,gt33,gt11,gt31",farallon-eyeglasses-101016
2,101216,50,1012,,25.95,34.95,standardframetype,Acetate,FullRim,Round,Unisex,Blue,Blue,119,Small,,16,49,Round Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,50,61,139,18,43,1,1,https://static.zennioptical.com/production/products/general/10/12/101216-eyeglasses-front-view.jpg,"ft06,ft09,ft01,5900001","gt35,gt33,gt34,gt44,gt01,gt53,gt42,gt20,gt32,gt38,gt40",acetate-round-eyeglass-frames-101216
3,101218,50,1012,,25.95,34.95,standardframetype,Acetate,FullRim,Round,Unisex,Red,,119,Small,,16,49,Round Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,50,61,139,18,43,1,1,https://static.zennioptical.com/production/products/general/10/12/101218-eyeglasses-front-view.jpg,"ft06,ft09,ft01,5900001","gt35,gt33,gt34,gt44,gt01,gt53,gt42,gt20,gt32,gt38,gt40",womens-full-rim-acetate-plastic-round-eyeglass-frames-101218
,101229,50,1012,Yes,25.95,34.95,standardframetype,Acetate,FullRim,Round,Unisex,Multicolor,Sea Glass,119,Small,,16,49,Round Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,50,61,139,18,43,1,1,https://static.zennioptical.com/production/products/general/10/12/101229-eyeglasses-front-view.jpg,"ft06,ft09,ft01,5900001","gt35,gt33,gt34,gt44,gt01,gt53,gt42,gt20,gt32,gt38,gt40",acetate-round-eyeglass-frames-101229
,101235,50,1012,Yes,25.95,34.95,standardframetype,Acetate,FullRim,Round,Unisex,Tortoiseshell,,119,Small,,16,49,Round Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,70,50,61,139,18,43,1,1,https://static.zennioptical.com/production/products/general/10/12/101235-eyeglasses-front-view.jpg,"ft06,ft09,ft01,5900001","gt35,gt33,gt34,gt44,gt01,gt53,gt42,gt20,gt32,gt38,gt40",round-tortoiseshell-eyeglass-frames-101235
6,102217,62,1022,,19.95,26.95,standardframetype,Acetate,FullRim,Square,Unisex,Purple,Purple,128,Med,,20,54,Square Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,62,67,145,19,38,1,1,https://static.zennioptical.com/production/products/general/10/22/102217-eyeglasses-front-view.jpg,"ft01,ft06","gt40,gt33,gt44,gt43,gt49,gt31",womens-acetate-square-eyeglass-frames-102217
7,102222,62,1022,,19.95,26.95,standardframetype,Acetate,FullRim,Square,Unisex,Orange,,128,Med,,20,54,Square Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,62,67,145,19,38,1,1,https://static.zennioptical.com/production/products/general/10/22/102222-eyeglasses-front-view.jpg,"ft01,ft06","gt40,gt33,gt44,gt43,gt49,gt31",acetate-plastic-square-eyeglass-frames-102222
8,102224,62,1022,,19.95,26.95,standardframetype,Acetate,FullRim,Square,Unisex,Green,,128,Med,,20,54,Square Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,76,62,67,145,19,38,1,1,https://static.zennioptical.com/production/products/general/10/22/102224-eyeglasses-front-view.jpg,"ft01,ft06","gt40,gt33,gt44,gt43,gt49,gt31",acetate-plastic-square-eyeglass-frames-102224
9,102318,55,1023,,23.95,31.95,standardframetype,Acetate,FullRim,Rectangle,Women_s,Red,,120,Small,,17,50,Rectangle Glasses,0,0,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,71,55,62,137,18,34,1,1,https://static.zennioptical.com/production/products/general/10/23/102318-eyeglasses-front-view.jpg,"ft06,ft09,ft01,5900001","gt12,gt08,gt49,gt10,gt17,gt31,gt33,gt04,gt11",womens-fullrim-acetate-plastic-rectangle-eyeglass-frames-102318
10,102324,55,1023,,23.95,31.95,standardframetype,Acetate,FullRim,Rectangle,Women_s,Green,,120,Small,,17,50,Rectangle Glasses,0,1,non-retired,configurable prescription frame,12,-26,12,-20,6,-6,71,55,62,137,18,34,1,1,https://static.zennioptical.com/production/products/general/10/23/102324-eyeglasses-front-view.jpg,"ft06,ft09,ft01,5900001","gt12,gt08,gt49,gt10,gt17,gt31,gt33,gt04,gt11",womens-fullrim-acetate-plastic-rectangle-eyeglass-frames-102324
